,name,market_pairs,circulating,max supply,MC,MC_dominance,sixty_days_change,SC
259,Wilder World,9,73.68330017,1,312.723852685574,0.0,164.59221972,False
260,BabySwap,21,121.31966,1,309.2856113458544,0.0,317.03598428,False
261,Anyswap,24,18.639320215999998,1,304.40416796342623,0.0,44.20036274,False
262,inSure DeFi,12,26790.063174642703,1,291.88590624963234,0.0,238.58060437,False
263,Seedify.fund,12,21.6506211488638,1,290.9422282471639,0.0,257.88531483,False
264,Wrapped NCG (Nine Chronicles Gold),15,119.79431509999999,1,286.6600109889807,0.0,109.04120506,False
265,PlatON,16,2264.815642817114,0,285.633034353624,0.0,-1.70131899,False
266,Mines of Dalarnia,20,123.2,1,281.09319888282107,0.0,-53.49248099,False
267,Veritaseum,2,2.14964644,0,278.1701389998779,0.0,514.41625251,False
268,Pundi X[new],28,258.49163723,1,277.69892399100036,0.0,-35.9744385,False
269,Chia Network,32,2.51271,0,265.4950440309012,0.0,-33.52472667,False
270,HedgeTrade,8,348.73146837517334,0,263.2159615203347,0.0,-3.47053418,False
271,Trust Wallet Token,33,346.951186,0,262.96556178231884,0.0,-24.44181342,False
272,Star Atlas,19,2160.0,1,257.08966317977666,0.0,24.50473289,False
273,Mango Markets,8,1000.0,1,252.0174620404142,0.0,-8.93132001,False
274,Pirate Chain,11,188.74967330588,1,249.3328899831434,0.0,-38.62867622,False
275,Centrality,8,1200.0,0,248.08597910317013,0.0,182.95765666,False
276,Kyber Network Crystal v2,89,177.80934953012874,0,244.09832053870946,0.0,-23.39644331,False
277,Hathor,8,222.312504,1,241.90364815098377,0.0,83.6326599,False
278,Biswap,14,146.393660311143,1,239.29294043539429,0.0,337.33388807,False
279,Rari Governance Token,20,11.25549623307286,0,237.5131621229775,0.0,-29.3307208,False
280,DeversiFi,7,24.1471476952941,1,237.70641508837653,0.0,155.41205647,False
281,Humanscape,5,711.4096230588278,0,235.5177039636317,0.0,132.47385446,False
282,KardiaChain,24,3036.0,1,233.70367877034715,0.0,75.64654842,True
283,Sapphire,4,537.5729155229884,0,231.1370917214618,0.0,7.73280822,False
284,Radicle,35,21.27397489413032,1,228.87595733766634,0.0,-37.24436531,False
285,ASD,6,660.615274,0,227.86783956355947,0.01,-26.38961896,False
286,Alien Worlds,47,914.0303702531,1,227.6889545576287,0.0,26.85668767,False
287,Electroneum,23,17908.37588828,1,226.39801411411113,0.0,-32.87461524,False
288,Bifrost (BFC),10,1055.3351544919913,1,225.78886321567543,0.0,-27.68702514,False
289,Alchemy Pay,33,3490.875250046453,1,224.81918128695204,0.0,3.83249255,False
290,aelf,57,544.4801999864658,1,222.93010568070508,0.0098,-37.16046042,False
291,Merit Circle,21,42.592,1,222.09461588235655,0.0,90.6174494,False
292,Zelwin,7,72.3318341691,1,220.9969959520943,0.0,-8.32131875,False
293,Phantasma,13,103.158489,0,219.92396590661878,0.0096,223.83907752,False
294,SafePal,35,108.166667,1,214.5531047956523,0.0,86.11557079,False
295,Prometeus,19,16.45,0,213.563445585233,0.0094,-27.69090239,False
296,LUKSO,9,15.12591570885664,1,213.5131270367886,0.0,-44.25317512,False
297,Powerledger,54,463.13609714937,1,211.96633585320936,0.0093,20.16177924,False
298,Orbs,26,2229.9505182013586,0,209.52136802808147,0.0092,-26.63909333,False
299,Alchemix,29,0.8777922639697501,1,204.55472430874974,0.0,-8.78389045,False
300,Numeraire,54,5.88850364405066,1,203.44686194957495,0.0089,-20.4588991,False
301,Hxro,12,390.90843387308905,0,201.495622513164,0.0088,22.10658986,False
302,Venus BTC,1,0.205836,0,201.23992876462836,0.0,-12.73356368,False
303,Augur,78,11.0,0,201.08341722952602,0.0088,-27.41634506,False
304,Everscale,6,735.353906,0,200.16664608439135,0.0,-24.09223132,False
305,Vectorspace AI,6,38.697733082475104,0,199.94487615184212,0.0,-56.52092671,False
306,Beta Finance,26,255.833333,1,199.78442112395547,0.0,-76.46935889,False
307,Mirror Protocol,57,77.742679932493,0,196.78402629852587,0.0,-16.07755526,False
308,Stratis,25,131.63651140699818,0,196.65724389786237,0.0086,-38.23452949,True
309,Band Protocol,128,35.191821,0,196.32063028061586,0.0086,-29.17157527,False
310,IDEX,24,605.1618432458209,0,195.1953519770482,0.0,-5.95473804,False
311,Telos,14,270.12344384429997,0,194.8708705941254,0.0,-31.59671673,True
312,Safe,1,20.835499350000003,0,193.91361427343492,0.0,364.69651243,False
313,RedFOX Labs,14,1312.00076,1,192.2304805527223,0.0,317.06083836,False
314,Akash Network,11,113.861304115862,1,192.00270689517455,0.0,-44.90616135,False
315,API3,30,36.90781,0,190.84404169413153,0.0,36.91773107,False
316,Orion Protocol,23,32.695,1,189.1242936318278,0.0,-25.75487961,False
317,Efinity Token,26,169.85748127138325,1,188.7229807118412,0.0,42.08943889,False
318,Tether Gold,11,0.10554909,0,188.55775698312615,0.0,1.59144487,False
319,Sovryn,9,19.5437840633,1,187.8368316532366,0.0,-69.69101221,False
320,SingularityNET,12,873.7496747638088,1,187.60408510775838,0.0082,-39.0552673,False
321,Constellation,8,1266.9119310440833,1,187.56016699280883,0.0082,-16.43793248,True
322,CRYPTO20,3,39.98501302228294,0,187.18167660942925,0.0,1.90608031,False
323,e-Radix,15,734.834633,1,186.18149388041968,0.0,106.93799911,False
324,ABBC Coin,34,922.7149200943151,1,185.5963335724679,0.0081,72.45055681,False
325,Steem,32,394.951699,0,185.918974959096,0.0082,-24.45939249,False
326,Aragon,72,39.60952280952381,0,183.04842304816344,0.008,-0.39241443,False
327,Venus,52,11.61395,1,183.05336207563744,0.008,-41.66902289,False
